groups,case_id,time_limit,legacy_ub,directed_ub,directed_improvement_percent,legacy_lb,directed_lb,legacy_gap,directed_gap,legacy_fo_gain,directed_fo_gain,legacy_graph_density,directed_graph_density,decision
24,pilot_l_301,60,0.1343149583635132,0.13539425924269127,-0.803560,0.1156267164519525,0.1156267164519525,0.13913745824930687,0.14599985923558167,0.009528759580732016,0.008449458701553947,1.0,0.21739130434782608,fail
48,scale_g048_s601,120,0.1419923125389277,0.1432247058244719,-0.867929,0.11830479121927327,0.11830479121927327,0.16682256170143295,0.17399173181573196,0.004187702982522856,0.0027818755670072914,1.0,0.14893617021276595,fail
96,scale_g096_s801,120,0.17113739764230362,0.1703617261391631,0.453245,0.13988910192782317,0.13988910192782317,0.1825918597862105,0.17887013064453106,0.006200407348413262,0.006976078851553796,1.0,0.10526315789473684,pass
