case_id,groups,implicit_zones,proof_pool,primal_pool,proof_to_primal_reduction,v5_pool_ub,v5_root_lb,v5_independent_gap,complete_mip_ub,complete_mip_lb,complete_mip_gap,v5_common_bound_gap,time_to_first,time_to_best,complete_time_to_first,complete_time_to_best,internal_valid,external_valid
pilot_l_301,24,40054,1065,994,0.06666666666666665,0.13864872126056085,0.1156267164519525,0.16604556175706364,0.13152150491960696,0.1201990149110313,0.08608850708860559,0.1330679878024785,8.002180137656978,48.07571160537191,3.0039440522814402,49.60299910408503,true,true
scale_g048_s601,48,79892,4487,2111,0.5295297526186762,0.1429532100056037,0.11830479121927327,0.17242298221469968,0.14282644845755862,0.1198380519461714,0.16095335814653614,0.1616973697794278,13.365916544469655,101.41012812552799,6.3602797030616784,114.00218572608719,true,true
scale_g096_s801,96,159907,19801,4620,0.7666784505833039,0.17032165576584077,0.13988910192782317,0.17867694921811034,0.17110328931331037,0.14027336696538878,0.18018310735960402,0.17642083542073214,45.87793501152191,113.05074325403257,32.29000712670677,110.5759661320626,true,true
