case_id,groups,oracle_ub,phase2_audit_ub,phase2_ub_worse_percent,oracle_zones,base_covered,base_coverage,mandatory_covered,mandatory_coverage,final_master_covered,final_master_coverage,fully_covered_groups,missing_zones,missing_groups,missing_groups_outside_fo,phase2_selected_overlap,addback_status,addback_objective,addback_absolute_difference
pilot_l_301,24,0.13715061251574973,0.13864872126056085,1.0923091901168913,57,27,0.47368421052631576,28,0.49122807017543857,28,0.49122807017543857,9,29,15,8,7,optimal,0.13715061251574978,5.551115123125783e-17
scale_g048_s601,48,0.13928921742826503,0.14182407472464809,1.8198517754531407,107,35,0.32710280373831774,42,0.3925233644859813,43,0.40186915887850466,10,64,38,25,10,optimal,0.13928921742826497,5.551115123125783e-17
scale_g096_s801,96,0.16968086460781448,0.17032165576584077,0.37764491565230873,266,69,0.2593984962406015,125,0.4699248120300752,126,0.47368421052631576,33,140,63,39,49,optimal,0.1696808646078147,2.220446049250313e-16
