case_id,export_groups,root_seconds,root_lb,compact_seconds,compact_ub,compact_gap,compact_time_to_first,compact_time_to_best,rim_seconds,final_ub,rim_bound,rim_gap,rim_time_to_first,rim_time_to_best,rim_improvement_fraction,absolute_root_gap,incumbent_relative_root_gap,warm_start_preserved
scale_g024_s401,24,5.411242417,0.042911849757157804,30.743777166,0.07027656930101027,0.2294681585,0.000834942,29.007122993,31.093562583,0.07027656930101027,0.05816780039299267,0.1723016509,0.001473904,0.001473904,0.0000000000,0.027364719543852466,0.3893861043,true
scale_g048_s601,48,15.686062542,0.08315040406603073,31.281061500,0.11590294092216141,0.2486931256,0.001527786,28.218067884,32.344250208,0.11259109757860002,0.0917106317408515,0.1854539683,0.003309011,28.337697029,0.0285742822,0.029440693512569283,0.2614833157,true
scale_g096_s801,96,41.441267708,0.10582753827961638,32.357652541,0.21849124356481295,0.5084999274,0.002837896,6.254498005,35.254727958,0.18633384310633844,0.10932456611826204,0.4132865812,0.006922007,26.183964014,0.1471793557,0.08050630482672205,0.4320541212,true
