case_id,groups,policy,rounds,initial_ub,final_ub,root_lb,independent_gap,fo_improvement,fo_seconds,final_master_zones,time_to_first,time_to_best,relative_improvement_vs_objective_single,internal_valid,external_valid
pilot_l_301,24,objective_single,1,0.14384371794424522,0.13864872126056085,0.1156267164519525,0.16604556175706364,0.005194996683684366,11.210897625001962,1006,8.122040389745962,48.06883940224361,0.0,true,true
pilot_l_301,24,conflict_single,1,0.14384371794424522,0.13960632496114916,0.1156267164519525,0.17176591759628312,0.0042373929830960555,11.191648084000917,1010,8.146402766433312,53.37150841658877,-0.006906689739955826,true,true
pilot_l_301,24,conflict_multi,3,0.14384371794424522,0.1343149583635132,0.1156267164519525,0.13913745824930687,0.009528759580732016,11.192959334002808,1017,8.115132252583862,56.18287139564927,0.03125714292671522,true,true
pilot_l_301,24,hybrid_multi,3,0.14384371794424522,0.1350052956694416,0.1156267164519525,0.14353940059460535,0.008838422274803609,11.197937208999065,1019,8.246903804101748,54.388458813977195,0.026278104536371433,true,true
scale_g048_s601,48,objective_single,1,0.14618260434977662,0.14264246819466447,0.11830479121927327,0.17062013356483374,0.0035401361551121446,22.206527165995794,2139,13.380308181236614,101.4164250244794,0.0,true,true
scale_g048_s601,48,conflict_single,1,0.14600658139147918,0.1437646082364027,0.11830479121927327,0.17709377383941377,0.0022419731550764876,22.054140292006196,2133,13.45230687194271,106.44298300072842,-0.007866801913486458,true,true
scale_g048_s601,48,conflict_multi,3,0.14618001552145055,0.1419923125389277,0.11830479121927327,0.16682256170143295,0.004187702982522856,22.078747583000222,2143,13.338653742612223,108.68867661731201,0.004557938908134392,true,true
scale_g048_s601,48,hybrid_multi,3,0.14618001552145055,0.14158001879786564,0.11830479121927327,0.1643962741085838,0.004599996723584909,22.028687917001662,2154,13.456608453474473,108.1550035779801,0.007448338564563465,true,true
scale_g096_s801,96,objective_single,1,0.17733780499071689,0.17032165576584077,0.13988910192782317,0.17867694921811034,0.007016149224876117,15.4970997920027,4696,46.057437964351266,113.05807324650232,0.0,true,true
scale_g096_s801,96,conflict_single,1,0.17733780499071689,0.17023476191836232,0.13988910192782317,0.1782577168645009,0.00710304307235457,15.48971895800787,4669,46.09232349076774,113.00725604750914,0.0005101749809073913,true,true
scale_g096_s801,96,conflict_multi,3,0.17733780499071689,0.17040560594072443,0.13988910192782317,0.17908157331112937,0.006932199049992455,15.545409541009576,4692,45.870934269129066,112.85135178429482,-0.0004928919608383658,true,true
scale_g096_s801,96,hybrid_multi,3,0.17783131070259015,0.17252176044042886,0.13988910192782317,0.18915097103865705,0.005309550262161289,14.929450334006106,4693,48.33985338406637,112.79587355983676,-0.012917351376696367,true,true
