case,groups,time_limit_s,v4_ub,v4_lb,v4_gap,v5_start_ub,v5_start_lb,v5_start_gap,complete_mip_ub,complete_mip_lb,complete_mip_gap,v5_time_to_first_s,v5_time_to_best_s,mip_time_to_first_s,mip_time_to_best_s,implicit_zones,proof_pool,primal_pool,generated,deduplicated,repaired,feasible_repaired,submitted,best_start_ub,fo_improvement,internal_valid,external_valid
pilot_l_301,24,60,0.135016333299,0.115626716452,0.143609416527,0.133713944285,0.115626716452,0.135268074916,0.131690111172,0.120153541122,0.087603920649,8.004280389,55.135351728,7.640821059,48.951191028,40054,1065,2074,20,4,4,4,4,0.212760550757,0.005689407307,true,true
scale_g048_s601,48,120,0.139063130812,0.118304791219,0.149272776125,0.138250338949,0.118304791219,0.144271239273,0.140395303033,0.119801984659,0.146680963888,19.046096873,105.870917707,15.701369250,111.905638182,79892,4487,6528,20,17,8,8,6,0.227516465229,0.005220525200,true,true
scale_g096_s801,96,120,0.166000579200,0.139889101928,0.157297507021,0.169992804908,0.139889101928,0.177088100856,0.179106299353,0.140273186780,0.216816006548,59.338153307,111.154095158,37.430556832,110.935319720,159907,19801,23850,20,19,8,8,6,0.248324186819,0.006521912776,true,true
