groups,case_id,time_limit,legacy_ub,rotation_ub,rotation_improvement_percent,legacy_lb,rotation_lb,legacy_gap,rotation_gap,legacy_fo_gain,rotation_fo_gain,legacy_seeds,rotation_seeds,decision
24,pilot_l_301,60,0.1343149583635132,0.134760783447655,-0.331925,0.1156267164519525,0.1156267164519525,0.13913745824930687,0.1419854241433282,0.009528759580732016,0.009082934496590228,E007/E007/E007,E007/E008/E010,fail
48,scale_g048_s601,120,0.1419923125389277,0.14094904173701406,0.734738,0.11830479121927327,0.11830479121927327,0.16682256170143295,0.16065558331351373,0.004187702982522856,0.005057539654465121,E007/E007/E007,E007/E012/E008,pass
96,scale_g096_s801,120,0.17113739764230362,0.1700134693087271,0.656740,0.13988910192782317,0.13988910192782317,0.1825918597862105,0.17718812223166364,0.006200407348413262,0.007324335681989785,E007/E007/E007,E007/E012/E004,pass
