case_id,groups,implicit_zones,proof_pool,primal_pool,final_primal_master,proof_to_primal_reduction,phase3_ub,phase3_root_lb,phase3_independent_gap,phase2_ub,complete_mip_ub,complete_mip_lb,complete_mip_gap,phase3_common_bound_gap,phase3_time_to_first,phase3_time_to_best,complete_time_to_first,complete_time_to_best,fix_opt_rounds,fix_opt_successes,fix_opt_total_improvement,injected_new_zones,internal_valid,external_valid
pilot_l_301,24,40054,1065,994,1017,0.06666666666666665,0.1343149583635132,0.1156267164519525,0.13913745824930687,0.13864872126056085,0.13152150491960696,0.1201990149110313,0.08608850708860559,0.10509584058596198,8.040950296533993,56.10425038865651,3.0039440522814402,49.60299910408503,3,3,0.009528759580732016,23,true,true
scale_g048_s601,48,79892,4487,2111,2136,0.5295297526186762,0.143515110279001,0.11830479121927327,0.17566316892149905,0.1429532100056037,0.14282644845755862,0.1198380519461714,0.16095335814653614,0.16497955014492988,13.33672708942322,111.5189849234448,6.3602797030616784,114.00218572608719,3,3,0.0024914711124781885,25,true,true
scale_g096_s801,96,159907,19801,4620,4693,0.7666784505833039,0.17113739764230362,0.13988910192782317,0.1825918597862105,0.17032165576584077,0.17110328931331037,0.14027336696538878,0.18018310735960402,0.1803464999591973,45.863800766470376,112.88777015150117,32.29000712670677,110.5759661320626,3,3,0.006200407348413262,73,true,true
